"No.","Time","Source","Destination","Protocol","Length","Info"
"177","1.276167954","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=4961 Ack=24861 Win=62464 Len=0 TSval=4134289204 TSecr=2960359730"
"178","1.276575438","192.168.1.196","34.96.118.58","TLSv1.3","105","Application Data"
"179","1.279257074","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=24861 Ack=5000 Win=265728 Len=0 TSval=2960359734 TSecr=4134289205"
"180","1.283535202","192.168.1.196","34.96.118.58","TLSv1.3","176","Application Data"
"181","1.287421132","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=24861 Ack=5110 Win=265728 Len=0 TSval=2960359741 TSecr=4134289212"
"182","1.541451691","34.96.118.58","192.168.1.196","TLSv1.3","270","Application Data"
"183","1.541452004","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"184","1.541452029","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"185","1.541452046","34.96.118.58","192.168.1.196","TLSv1.3","933","Application Data"
"186","1.541452062","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"187","1.541452079","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"188","1.541602511","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=5110 Ack=31532 Win=59648 Len=0 TSval=4134289470 TSecr=2960359995"
"189","1.556210159","34.96.118.58","192.168.1.196","TLSv1.3","3207","Application Data, Application Data, Application Data, Application Data"
"190","1.556210286","34.96.118.58","192.168.1.196","TLSv1.3","105","Application Data"
"191","1.556239303","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=5110 Ack=34673 Win=62592 Len=0 TSval=4134289484 TSecr=2960359996"
"192","1.556658131","192.168.1.196","34.96.118.58","TLSv1.3","105","Application Data"
"193","1.557192441","34.96.118.58","192.168.1.196","TCP","105","[TCP Spurious Retransmission] 443  >  34824 [PSH, ACK] Seq=34673 Ack=5110 Win=265728 Len=39 TSval=2960360010 TSecr=4134289470"
"194","1.557205575","192.168.1.196","34.96.118.58","TCP","78","[TCP Dup ACK 192#1] 34824  >  443 [ACK] Seq=5149 Ack=34712 Win=64128 Len=0 TSval=4134289485 TSecr=2960360010 SLE=34673 SRE=34712"
"195","1.560024161","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=34712 Ack=5149 Win=265728 Len=0 TSval=2960360014 TSecr=4134289485"
"196","1.582636761","192.168.1.196","34.96.118.58","TLSv1.3","258","Application Data"
"197","1.583017460","192.168.1.196","34.96.118.58","TLSv1.3","198","Application Data"
"198","1.585116035","192.168.1.196","34.96.118.58","TLSv1.3","196","Application Data"
"199","1.585999850","192.168.1.196","34.96.118.58","TLSv1.3","286","Application Data"
"200","1.586659781","192.168.1.196","34.96.118.58","TLSv1.3","201","Application Data"
"201","1.586863275","192.168.1.196","34.96.118.58","TLSv1.3","200","Application Data"
"202","1.587026026","192.168.1.196","34.96.118.58","TLSv1.3","202","Application Data"
"203","1.587195518","192.168.1.196","34.96.118.58","TLSv1.3","211","Application Data"
"204","1.587355838","192.168.1.196","34.96.118.58","TLSv1.3","201","Application Data"
