"No.","Time","Source","Destination","Protocol","Length","Info"
"272","1.800294362","144.195.42.38","192.168.1.196","UDP","1155","8801  >  52088 Len=1113"
"273","1.800294591","144.195.42.38","192.168.1.196","UDP","1156","8801  >  52088 Len=1114"
"274","1.809235058","192.168.1.196","144.195.42.38","UDP","123","52088  >  8801 Len=81"
"275","1.809394690","192.168.1.196","144.195.42.38","UDP","309","54482  >  8801 Len=267"
"276","1.821546505","144.195.42.38","192.168.1.196","UDP","1155","8801  >  52088 Len=1113"
"277","1.821546663","144.195.42.38","192.168.1.196","UDP","1155","8801  >  52088 Len=1113"
"278","1.830731200","192.168.1.196","144.195.42.38","UDP","301","54482  >  8801 Len=259"
"279","1.831488655","144.195.42.38","192.168.1.196","UDP","1155","8801  >  52088 Len=1113"
"280","1.848489578","144.195.42.38","192.168.1.196","UDP","142","8801  >  54482 Len=100"
"281","1.851242706","192.168.1.196","144.195.42.38","UDP","291","54482  >  8801 Len=249"
"282","1.861646694","144.195.42.38","192.168.1.196","UDP","1065","8801  >  52088 Len=1023"
"283","1.861840519","144.195.42.38","192.168.1.196","UDP","1066","8801  >  52088 Len=1024"
"284","1.872901124","192.168.1.196","144.195.42.38","UDP","299","54482  >  8801 Len=257"
"285","1.882389849","144.195.42.38","192.168.1.196","UDP","1065","8801  >  52088 Len=1023"
"286","1.882390181","144.195.42.38","192.168.1.196","UDP","1065","8801  >  52088 Len=1023"
"287","1.893863121","192.168.1.196","144.195.42.38","UDP","316","54482  >  8801 Len=274"
"288","1.899576003","144.195.42.38","192.168.1.196","UDP","137","8801  >  54482 Len=95"
"289","1.916004929","192.168.1.196","144.195.42.38","UDP","333","54482  >  8801 Len=291"
"290","1.933652561","144.195.42.38","192.168.1.196","UDP","1067","8801  >  52088 Len=1025"
"291","1.933652690","144.195.42.38","192.168.1.196","UDP","1067","8801  >  52088 Len=1025"
"292","1.933958321","192.168.1.196","144.195.42.38","UDP","194","52088  >  8801 Len=152"
"293","1.936407175","192.168.1.196","144.195.42.38","UDP","343","54482  >  8801 Len=301"
